Salesarea, Customer, Product,Round,Demand per week,Demand value,Additional sales as result of promotions,Sales price,Gross margin,Gross margin per piece,Attained shelf life,Service level (pieces),Service level (order lines),OSA,CO2 footprint,Additional sales next round as a result of webshop service level
The Netherlands,Food & Groceries,Fressie Orange 1 liter,0,42637.4916,15581.5622,0.0333,0.3654,5692.368,0.1335,0.8528,0.9376,0.9191,0.8707,1.0446,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,1,42637.4916,17654.7116,0.0333,0.4141,7804.7655,0.183,0.8521,0.9231,0.9037,0.8652,1.0379,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,2,42637.4916,17520.131,0.0333,0.4109,7865.7412,0.1845,0.8591,0.9282,0.913,0.8696,1.0028,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,3,42637.4916,13354.0624,0.0333,0.3132,4105.9138,0.0963,0.9213,0.831,0.804,0.7781,0.9357,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,4,42637.4916,12999.2395,0.0333,0.3049,2961.3373,0.0695,0.8891,0.9442,0.9264,0.9,0.959,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,5,42637.4916,18440.9522,0.0333,0.4325,9088.2496,0.2132,0.8641,0.9514,0.9405,0.9,0.9897,0
The Netherlands,Food & Groceries,Fressie Orange 1 liter,6,42637.4916,19181.2699,0.0333,0.4499,8872.5742,0.2081,0.8967,0.9258,0.9191,0.8847,1.2126,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,0,7181.7898,3207.7626,0.0373,0.4467,1349.0026,0.1878,0.8773,0.839,0.787,0.8077,1.1994,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,1,7181.7898,3634.56,0.0373,0.5061,1760.9753,0.2452,0.8696,0.9058,0.8776,0.9102,1.2199,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,2,7181.7898,3606.854,0.0373,0.5022,1684.9856,0.2346,0.8586,0.9324,0.9145,0.9436,1.2902,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,3,7181.7898,2749.1891,0.0373,0.3828,789.4398,0.1099,0.9242,0.8129,0.764,0.801,1.2989,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,4,7181.7898,2676.1421,0.0373,0.3726,486.3383,0.0677,0.9113,0.8481,0.8074,0.8557,1.3665,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,5,7181.7898,3796.4227,0.0373,0.5286,2003.3213,0.2789,0.8743,0.9245,0.912,0.9665,1.192,0
The Netherlands,Food & Groceries,Fressie Orange/C-power 1 liter,6,7181.7898,3948.8312,0.0373,0.5498,2026.2304,0.2821,0.9005,0.9189,0.9043,0.943,1.3893,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,0,26777.4604,10438.004,0.0347,0.3898,3294.5644,0.123,0.8546,0.9715,0.9652,0.9141,1.072,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,1,26777.4604,11826.7956,0.0347,0.4417,4700.7098,0.1755,0.8545,0.9598,0.9546,0.9141,1.0661,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,2,26777.4604,11736.6407,0.0347,0.4383,4759.9555,0.1778,0.8594,0.9709,0.9612,0.9141,1.0283,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,3,26777.4604,8945.814,0.0347,0.3341,1887.1936,0.0705,0.9168,0.8592,0.8488,0.8343,1.0377,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,4,26777.4604,8708.1201,0.0347,0.3252,1062.5655,0.0397,0.9136,0.9002,0.8731,0.8675,1.0582,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,5,26777.4604,12353.4938,0.0347,0.4613,5718.3703,0.2136,0.8622,0.9556,0.9533,0.9141,1.0121,0
The Netherlands,Food & Groceries,Fressie Orange/Mango 1 liter,6,26777.4604,12849.4287,0.0347,0.4799,5473.1498,0.2044,0.8944,0.959,0.954,0.9141,1.2572,0
The Netherlands,Food & Groceries,Fressie Orange PET,0,35873.064,6409.1139,0.0332,0.1787,1956.3868,0.0545,0.8459,0.9746,0.9694,0.9661,1.4983,0
The Netherlands,Food & Groceries,Fressie Orange PET,1,35873.064,7261.8558,0.0332,0.2024,2817.685,0.0785,0.8459,0.9461,0.9497,0.9661,1.4941,0
The Netherlands,Food & Groceries,Fressie Orange PET,2,35873.064,7206.4992,0.0332,0.2009,2907.8263,0.0811,0.8524,0.9575,0.9573,0.9661,1.4058,0
